"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Derivatization]"	"Term Source REF"	"Term Accession Number"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column type]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Scan m/z range]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"SAMEA2630417"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-45"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-45-3neg_1-C,4_01_24388"	"LTI225-45-3neg_1-C,4_01_24388.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630408"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-57"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-57-1neg_1-D,8_01_24636"	"LTI225-57-1neg_1-D,8_01_24636.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630408"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-57"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-57-2neg_2-A,3_01_24672"	"LTI225-57-2neg_2-A,3_01_24672.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630408"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-57"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-57-3neg_1-E,8_01_24644"	"LTI225-57-3neg_1-E,8_01_24644.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630364"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-69"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-69-1neg_1-D,6_01_24634"	"LTI225-69-1neg_1-D,6_01_24634.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630364"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-69"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-69-2neg_1-F,5_01_24649"	"LTI225-69-2neg_1-F,5_01_24649.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630364"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-69"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-69-3neg_2-B,5_01_24682"	"LTI225-69-3neg_2-B,5_01_24682.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630367"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-04"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-04-1neg_1-A,3_01_24294"	"LTI225-04-1neg_1-A,3_01_24294.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630385"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-16"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-16-1neg_1-E,2_01_24482"	"LTI225-16-1neg_1-E,2_01_24482.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630385"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-16"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-16-2neg_1-D,6_01_24478"	"LTI225-16-2neg_1-D,6_01_24478.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630381"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-28"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-28-1neg_1-C,8_01_24471"	"LTI225-28-1neg_1-C,8_01_24471.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630381"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-28"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-28-2neg_1-B,8_01_24463"	"LTI225-28-2neg_1-B,8_01_24463.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630381"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-28"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-28-3neg_1-A,8_01_24455"	"LTI225-28-3neg_1-A,8_01_24455.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630434"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-40"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-40-1neg_1-E,8_01_24332"	"LTI225-40-1neg_1-E,8_01_24332.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630434"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-40"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-40-2neg_1-E,5_01_24329"	"LTI225-40-2neg_1-E,5_01_24329.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630434"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-40"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-40-3neg_1-E,1_01_24325"	"LTI225-40-3neg_1-E,1_01_24325.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630405"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-52"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-52-1neg_1-B,1_01_24612"	"LTI225-52-1neg_1-B,1_01_24612.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630405"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-52"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-52-2neg_1-C,5_01_24624"	"LTI225-52-2neg_1-C,5_01_24624.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630405"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-52"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-52-3neg_2-A,6_01_24675"	"LTI225-52-3neg_2-A,6_01_24675.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630373"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-64"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-64-1neg_1-A,1_01_24526"	"LTI225-64-1neg_1-A,1_01_24526.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630373"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-64"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-64-2neg_1-D,5_01_24633"	"LTI225-64-2neg_1-D,5_01_24633.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630373"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-64"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-64-3neg_1-C,5_01_24546"	"LTI225-64-3neg_1-C,5_01_24546.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630430"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-10"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-10-1neg_1-C,5_01_24312"	"LTI225-10-1neg_1-C,5_01_24312.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630430"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-10"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-10-2neg_1-C,2_01_24309"	"LTI225-10-2neg_1-C,2_01_24309.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630430"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-10"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-10-3neg_1-A,1_01_24292"	"LTI225-10-3neg_1-A,1_01_24292.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630403"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-22"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-22-1neg_1-F,1_01_24489"	"LTI225-22-1neg_1-F,1_01_24489.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630403"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-22"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-22-2neg_1-F,6_01_24494"	"LTI225-22-2neg_1-F,6_01_24494.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630403"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-22"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-22-3neg_1-E,5_01_24485"	"LTI225-22-3neg_1-E,5_01_24485.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630435"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-34"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-34-1neg_1-D,8_01_24480"	"LTI225-34-1neg_1-D,8_01_24480.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
"SAMEA2630435"	"Metabolite extraction"	"200 µL methanol/water, 30/70 (v/v)"	""	""	"none"	""	""	"LTI225-34"	"Chromatography"	"ACQUITY UPLC Systems with 2D Technology"	"MS"	"http://purl.obolibrary.org/obo/MS_1001765"	"HSS T3"	""	""	"RP 18"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	"negative"	""	""	"100-1000"	""	""	"micrOTOF-Q"	"MS"	"http://purl.obolibrary.org/obo/MS_1000703"	"ESI"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"LTI225-34-2neg_2-B,3_01_24680"	"LTI225-34-2neg_2-B,3_01_24680.mzData"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	"m_ipb-2014-01_metabolite profiling_mass spectrometry negative_v2_maf.tsv"
