"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Detector]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Signal range]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Resolution]"	"Term Source REF"	"Term Accession Number"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"SAMEA2630365"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-47"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-47-3neg_1-A,8_01_24376"	"LTI225-47-3neg_1-A,8_01_24376.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630371"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-59"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-59-1neg_1-F,8_01_24652"	"LTI225-59-1neg_1-F,8_01_24652.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630371"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-59"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-59-2neg_1-A,4_01_24607"	"LTI225-59-2neg_1-A,4_01_24607.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630371"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-59"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-59-3neg_1-C,2_01_24621"	"LTI225-59-3neg_1-C,2_01_24621.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630376"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-71"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-71-1neg_1-A,7_01_24610"	"LTI225-71-1neg_1-A,7_01_24610.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630376"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-71"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-71-2neg_1-C,1_01_24620"	"LTI225-71-2neg_1-C,1_01_24620.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630376"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-71"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-71-3neg_1-A,1_01_24604"	"LTI225-71-3neg_1-A,1_01_24604.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630416"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-06"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-06-1neg_1-B,7_01_24306"	"LTI225-06-1neg_1-B,7_01_24306.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630421"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-18"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-18-1neg_1-F,4_01_24492"	"LTI225-18-1neg_1-F,4_01_24492.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630406"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-30"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-30-1neg_1-C,2_01_24465"	"LTI225-30-1neg_1-C,2_01_24465.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630406"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-30"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-30-2neg_1-A,7_01_24454"	"LTI225-30-2neg_1-A,7_01_24454.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630406"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-30"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-30-3neg_1-A,2_01_24449"	"LTI225-30-3neg_1-A,2_01_24449.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630396"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-42"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-42-1neg_1-C,3_01_24387"	"LTI225-42-1neg_1-C,3_01_24387.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630396"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-42"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-42-2neg_1-C,7_01_24391"	"LTI225-42-2neg_1-C,7_01_24391.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630396"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-42"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-42-3neg_1-A,5_01_24373"	"LTI225-42-3neg_1-A,5_01_24373.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630399"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-54"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-54-1neg_1-D,2_01_24630"	"LTI225-54-1neg_1-D,2_01_24630.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630399"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-54"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-54-2neg_1-E,7_01_24643"	"LTI225-54-2neg_1-E,7_01_24643.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630399"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-54"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-54-3neg_1-A,8_01_24611"	"LTI225-54-3neg_1-A,8_01_24611.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630419"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-66"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-66-1neg_1-B,4_01_24537"	"LTI225-66-1neg_1-B,4_01_24537.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630419"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-66"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-66-2neg_1-C,6_01_24547"	"LTI225-66-2neg_1-C,6_01_24547.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630419"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-66"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-66-3neg_1-D,4_01_24632"	"LTI225-66-3neg_1-D,4_01_24632.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630411"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-12"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-12-1neg_1-A,6_01_24297"	"LTI225-12-1neg_1-A,6_01_24297.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630424"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-24"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-24-1neg_1-C,2_01_24543"	"LTI225-24-1neg_1-C,2_01_24543.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630404"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-36"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-36-1neg_1-A,7_01_24375"	"LTI225-36-1neg_1-A,7_01_24375.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630404"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-36"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-36-2neg_1-C,2_01_24386"	"LTI225-36-2neg_1-C,2_01_24386.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630420"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-48"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-48-1neg_1-E,2_01_24326"	"LTI225-48-1neg_1-E,2_01_24326.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630420"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-48"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-48-2neg_1-F,5_01_24337"	"LTI225-48-2neg_1-F,5_01_24337.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630420"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-48"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-48-3neg_1-A,3_01_24371"	"LTI225-48-3neg_1-A,3_01_24371.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630370"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-60"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-60-1neg_1-B,7_01_24618"	"LTI225-60-1neg_1-B,7_01_24618.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630370"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-60"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-60-2neg_1-B,5_01_24538"	"LTI225-60-2neg_1-B,5_01_24538.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630397"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-72"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-72-1neg_1-B,7_01_24540"	"LTI225-72-1neg_1-B,7_01_24540.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630397"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-72"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-72-2neg_1-C,6_01_24625"	"LTI225-72-2neg_1-C,6_01_24625.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630397"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-72"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-72-3neg_1-C,3_01_24544"	"LTI225-72-3neg_1-C,3_01_24544.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630391"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-01"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-01-1neg_1-C,3_01_24310"	"LTI225-01-1neg_1-C,3_01_24310.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630391"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-01"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-01-2neg_1-B,5_01_24304"	"LTI225-01-2neg_1-B,5_01_24304.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630391"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-01"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-01-3neg_1-A,4_01_24295"	"LTI225-01-3neg_1-A,4_01_24295.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630429"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-13"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-13-1neg_1-E,7_01_24487"	"LTI225-13-1neg_1-E,7_01_24487.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630429"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-13"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-13-2neg_1-F,5_01_24493"	"LTI225-13-2neg_1-F,5_01_24493.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630429"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-13"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-13-3neg_1-E,4_01_24484"	"LTI225-13-3neg_1-E,4_01_24484.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630413"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-25"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-25-1neg_1-A,6_01_24453"	"LTI225-25-1neg_1-A,6_01_24453.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630413"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-25"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-25-2neg_1-B,1_01_24456"	"LTI225-25-2neg_1-B,1_01_24456.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
"SAMEA2630379"	"Extraction"	"200 µl methanol/water, 30/70 (v/v)"	"none"	"LTI225-37"	"Chromatography"	"Waters ACQUITY UPLC system"	""	""	"ACQUITY UPLC HSS T3 (1.8 µm, 1 mm x 100 mm; Waters)"	"reverse phase"	"Waters ACQUITY UPLC PDA Detector"	""	""	"190-500 nm"	""	""	"0.25 nm"	""	""	"N/A"	"N/A"	""	""	"Mass spectrometry"	""	""	""	""	""	""	""	""	""	""	""	"LTI225-37-1neg_1-B,3_01_24379"	"LTI225-37-1neg_1-B,3_01_24379.cdf"	"Data transformation"	"N/A"	""	"Metabolite identification"	"N/A"	""
